Make,TotalRevenue
Acura,82715900.0
Aston Martin,1370300.0
Audi,116883675.0
BMW,444254638.0
Bentley,8626650.0
Buick,54756050.0
Cadillac,114447871.0
Chevrolet,721003399.0
Chrysler,192930288.71762002
Daewoo,1200.0
Dodge,344165716.71762
FIAT,8967877.0
Ferrari,2417000.0
Fisker,418150.0
Ford,1452674301.35881
GMC,179905320.0
Geo,10050.0
HUMMER,12291938.0
Honda,297645409.0
Hyundai,240220942.79405
Infiniti,312489190.0
Isuzu,348676.0
Jaguar,28091176.0
Jeep,230583753.0
Kia,213468985.71762002
Lamborghini,450500.0
Land Rover,57424780.0
Lexus,240615055.0
Lincoln,96859665.0
Lotus,40800.0
MINI,39699250.0
Maserati,6027600.0
Mazda,84921472.0
Mercedes-Benz,370083906.0
Mercury,7839650.0
Mitsubishi,33954483.0
Nissan,633272955.0
Oldsmobile,347325.0
Plymouth,191850.0
Pontiac,16887776.0
Porsche,55272051.0
Ram,115721911.0
Rolls-Royce,2609300.0
Saab,1756000.0
Saturn,9618000.0
Scion,16159450.0
Subaru,77577011.0
Suzuki,4188070.0
Tesla,1542250.0
Toyota,488392710.0
Volkswagen,118056384.0
Volvo,43425452.0
acura,150900.0
airstream,71000.0
audi,132300.0
bmw,2254875.0
buick,87625.0
cadillac,540000.0
chev truck,2000.0
chevrolet,2366550.0
chrysler,601350.0
dodge,1423075.0
dodge tk,550.0
dot,500.0
ford,2272525.0
ford tk,2800.0
ford truck,1450.0
gmc,125850.0
gmc truck,76125.0
honda,628475.0
hyundai,59500.0
hyundai tk,2100.0
jeep,929575.0
kia,37500.0
land rover,1510825.0
landrover,310950.0
lexus,1548500.0
lincoln,574850.0
maserati,85200.0
mazda,584620.0
mazda tk,6500.0
mercedes,523000.0
mercedes-b,27300.0
mercury,64750.0
mitsubishi,890100.0
nissan,430850.0
oldsmobile,13425.0
plymouth,4925.0
pontiac,87300.0
porsche,587750.0
smart,2469800.0
subaru,222625.0
suzuki,24050.0
toyota,697215.0
volkswagen,147500.0
vw,328150.0
